normal_gst_5,sw_gst_5,lemmas_gst_5,normal_gst_10,sw_gst_10,lemmas_gst_10,normal_char_2gram,sw_char_2gram,lemmas_char_2gram,normal_char_3gram,sw_char_3gram,lemmas_char_3gram,normal_char_4gram,sw_char_4gram,lemmas_char_4gram,normal_char_5gram,sw_char_5gram,lemmas_char_5gram,gs
0.5741935483870968,0.5188679245283019,0.5196078431372549,0.5741935483870968,0.5188679245283019,0.5196078431372549,0.7278787999611124,0.6314669057591787,0.6246754539453168,0.6561613484870565,0.532991953383659,0.540304861641017,0.6305667391669841,0.4971630702970085,0.5164399993229716,0.630437283235933,0.49435835157302827,0.5192380928264585,0.8
0.4479166666666667,0.5569620253164557,0.5584415584415584,0.375,0.46835443037974683,0.4675324675324675,0.6025035263521034,0.6522540679596525,0.6280514290065502,0.42952893289653693,0.4862441764767471,0.49364616384160975,0.3752766573353564,0.48094318014278353,0.48721674511873997,0.32089775121565417,0.46324241354494405,0.47713750961933127,0.75
0.5483870967741935,0.4857142857142857,0.4696969696969697,0.3870967741935484,0.2714285714285714,0.2727272727272727,0.55366719242432,0.49681762438919597,0.470319912230674,0.5082603528165925,0.4030214319631179,0.3815436604421016,0.5246155964682281,0.3730133858598156,0.3520033023484613,0.5319272281809339,0.3478007249802621,0.33041591883255295,0.5599999999999999
0.6939890710382514,0.7222222222222222,0.7253521126760564,0.6939890710382514,0.7222222222222222,0.7253521126760564,0.8930197432070562,0.90609612600448,0.9055366833479882,0.7941482798924789,0.818261674000494,0.8171146671606215,0.7601805628522003,0.7927419879502631,0.7953850167189656,0.7338523669471966,0.7697173674223521,0.7718066013432477,0.6799999999999999
0.34951456310679613,0.3372093023255814,0.32941176470588235,0.1941747572815534,0.23255813953488372,0.23529411764705882,0.4597769012269353,0.42234750826235273,0.42064693472889686,0.26855836794326826,0.214615406692322,0.21713651209702198,0.22730916388405284,0.1665265415305734,0.16788322916658072,0.19681354198171536,0.12794247955935367,0.12866738205268027,0.48
0.2857142857142857,0.3333333333333333,0.3142857142857143,0.13186813186813187,0.1388888888888889,0.14285714285714285,0.41567827104728994,0.3620392386358539,0.3451164587764707,0.20133053464704928,0.17635474695250805,0.1694637271349058,0.1779241359901263,0.12932896983465367,0.130195629840357,0.16366797858971888,0.09912516283777395,0.11165276731299606,0.2666
0.4230769230769231,0.35,0.3559322033898305,0.33974358974358976,0.25,0.2542372881355932,0.523066104365321,0.38380090382186743,0.38859379865909677,0.4782271611830143,0.32759363099787425,0.33655484498649374,0.48563414918185455,0.3423287873974224,0.35042068872910836,0.504020386987763,0.3623384849442947,0.3697361246542028,0.9199999999999999
0.5801526717557252,0.6530612244897959,0.6631578947368421,0.5801526717557252,0.6530612244897959,0.6631578947368421,0.7919641358861857,0.749376017322103,0.7379983656514532,0.654659733947873,0.582778499701555,0.5917697569175103,0.6346594950380235,0.5501971511432099,0.5626760432246745,0.6178742485093519,0.5248784042412423,0.5412101513008055,0.76
0.7289719626168224,0.6987951807228916,0.7,0.6728971962616822,0.6265060240963856,0.6375,0.6353807251270225,0.632470426084487,0.6437676596524019,0.5459324499875635,0.5590063442701511,0.5716765054072965,0.5041120826318207,0.5198004867585172,0.529586301230354,0.48015742209756557,0.5002292553740212,0.5075947584749683,0.8400000000000001
0.5267857142857143,0.5119047619047619,0.5121951219512195,0.4017857142857143,0.23809523809523808,0.23170731707317074,0.5329182271462087,0.4898363378343675,0.4891133910897429,0.4032328431113319,0.374428568088496,0.3718345987557754,0.4006859115035351,0.3612851988733445,0.35876111866765076,0.4031492511008744,0.36114868088180574,0.358901573083453,0.52
