POS_tagging_unigrams,POS_tagging_bigrams,POS_tagging_trigrams,chunk_sim_p,chunk_sim_s,chunk_sim_o,total_sim_chunks,sim_dependencies,gs
0.7027027027027026,0.5945945945945946,0.5142857142857143,0.7857142857142858,0.5,0.28476303054166874,0.5234924387519849,0.5947958914577081,0.8
0.5714285714285714,0.42105263157894735,0.3529411764705882,0.07181037901267455,0.05936594005307934,0.06999320450347096,0.06705650785640828,0.16700460753239244,0.75
0.5,0.25,0.09090909090909091,0.6666666666666666,0.0,0.0,0.2222222222222222,0.38893239695819465,0.5599999999999999
0.7777777777777777,0.7647058823529411,0.75,0.6848009157509071,0.5,0.37354803419070354,0.5194496499805369,0.7288736772955742,0.6799999999999999
0.3076923076923077,0.08333333333333333,0.0,0.29611603279677273,0.0,0.3333333333333333,0.20981645537670202,0.9999928097825742,0.48
0.24,0.0,0.0,0.0,0.0,0,0.0,0,0.2666
0.5714285714285714,0.17142857142857143,0.0,0.45045535649904805,0,0.043621264554700966,0.16469220701791634,1.394095289372358e-06,0.9199999999999999
0.6428571428571428,0.3846153846153846,0.25,1.0,0.3992161762410337,0.25519827714029253,0.5514714844604421,7.604253357135722e-06,0.76
0.6923076923076923,0.4166666666666667,0.27272727272727276,0.5,0.3333333333333333,0.0,0.27777777777777773,0.5999996685543438,0.8400000000000001
0.5,0.08695652173913043,0.0,0.0,0.15213733204639815,0.0,0.05071244401546605,0.09967679747357838,0.52
0.6842105263157895,0.3076923076923077,0.16216216216216214,0.6152663897854966,0,0.5030214764958821,0.3727626220937929,3.9428617781999845e-06,0.8800000000000001
0.823529411764706,0.5,0.4,0.8333333333333333,1.0,0.0,0.611111111111111,0.47740972851087543,0.8400000000000001
0.7142857142857143,0.5384615384615384,0.5,0.5,1.0,0.6666666666666666,0.7222222222222222,0.40048409615948205,1.0
0.8125,0.4666666666666667,0.21428571428571427,0.3333333333333333,1.0,0.5,0.611111111111111,0.34169486876460115,1.0
0.5333333333333333,0.3076923076923077,0.18181818181818182,0.07903264816307859,0.0,0,0.02634421605435953,0,1.0
0.7142857142857143,0.5185185185185185,0.48,0.0,0.5,0.0,0.16666666666666666,0.6643863101669615,0.6799999999999999
0.5714285714285714,0.0,0.0,0.0,1.0,0,0.3333333333333333,0,1.0
0.4,0.2222222222222222,0.125,0.558650147342404,0.6048589225497402,0.0,0.38783635663071475,0.21033113277360027,0.8
0.47058823529411764,0.13333333333333333,0.0,0.037699010658600984,0.0,0,0.012566336886200328,0,0.64
0.8181818181818181,0.6,0.4444444444444444,0.5,1.0,1.0,0.8333333333333334,0.6682234458401248,1.0
0.5217391304347826,0.38095238095238093,0.21052631578947367,0.5,0.0,1.0,0.5,0.2018785491118183,0.8800000000000001
0.3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,6.339831606937312e-07,0.72
0.375,0.14285714285714285,0.0,0.7064939364372724,0.0,0.8437088811166612,0.5167342725179779,0.11542758895067028,0.72
0.25,0.0,0.0,0.0,0.0,0,0.0,0,0.16
0.4,0.0,0.0,0.6571298279841896,0,1.0,0.5523766093280632,0,0.27999999999999997
0.7777777777777777,0.6842105263157895,0.611111111111111,0.5,0.5,0.0,0.3333333333333333,0.5852655542839912,0.64
0.5333333333333333,0.2857142857142857,0.23076923076923078,0.3333333333333333,0.3333333333333333,0,0.2222222222222222,0.27882825567403724,0.76
0.5454545454545455,0.3,0.1111111111111111,1.0,0.0,0,0.3333333333333333,0.25846967058333126,0.8400000000000001
0.8125,0.5806451612903225,0.48275862068965514,1.0,0.3333333333333333,1.0,0.7777777777777777,0.5397526026505989,0.6
0.5925925925925926,0.48,0.4347826086956522,0.7166909723690102,0.0,0.36738132407541685,0.36135743214814237,9.283007253998419e-07,0.72
0.64,0.2608695652173913,0.09523809523809523,0.3751387846229385,0.5397995246655516,0.4,0.43831276976283,7.959779219490416e-07,0.6
0.5806451612903225,0.26666666666666666,0.14285714285714285,0.0,0.0,0.5,0.16666666666666666,0,0.6
0.5,0.27272727272727276,0.1,0.0,0.0,0.0,0.0,0.9999943632825995,0.6
0.896551724137931,0.5,0.3076923076923077,0.08004231759913305,0.5,0.0,0.193347439199711,0.12512152086467945,0.96
0.4666666666666667,0.27586206896551724,0.2222222222222222,0.0,0.0,0,0.0,0,0.5
0.5,0.2857142857142857,0.0,0.0,1.0,0.0,0.3333333333333333,0.28880575817592796,0.45
0.5,0.2857142857142857,0.15384615384615385,0.07856491399209482,0.0,0.10475321865612641,0.06110604421607374,0.16385656305325258,0.7
0.5,0.3333333333333333,0.125,0.4552065587216324,0.0,0.3333333333333333,0.2628466306849886,0.31533061972412896,0.7
0.8148148148148148,0.72,0.6956521739130435,0.5555555555555555,0.0,0.0,0.18518518518518515,0.5003501354410592,0.6
0.5714285714285714,0.23076923076923078,0.16666666666666666,1.0,0.0,0,0.3333333333333333,0.13456191418498353,0.6
0.7,0.5555555555555556,0.375,0.0,1.0,0,0.3333333333333333,0.45514433999734066,0.7333999999999999
0.37037037037037035,0.16,0.08695652173913043,0.0,0.2471463997068446,0.0,0.08238213323561487,0.26931550606020793,0.33340000000000003
0.5555555555555556,0.4,0.30303030303030304,0.5,1.1865747224625793,0.5555555555555555,0.7473767593393782,0.33949024340939643,0.72
0.6060606060606061,0.4375,0.3333333333333333,0.2339218722114419,0.43365793479667375,0.05890744301251599,0.24216241667354388,0.24003681658819684,0.76
0.5833333333333334,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.0,0,0.2222222222222222,0.315842740955482,0.6799999999999999
